년_월,국가,방문자 수,전년 동월 대비 성장률,동월 구성 비율 ,남자,여자,관광,사업,공무,유학,기타,20대 미만,20대,30대,40대,50대,60대 이상
19-10,America others,4669,15.0283321,0.281911248,1986,1632,3413,18,60,28,1150,156,923,1067,642,439,391
19-10,Russia,33379,18.56285298,2.015402776,13768,14581,25818,166,50,48,7297,3637,6779,7505,5090,3380,1958
19-10,UK,15911,15.18859046,0.960696053,9456,5634,14117,150,14,20,1610,793,3367,3277,2396,2828,2429
19-10,Germany,13322,5.437277404,0.804373881,8039,4216,11460,207,28,158,1469,1125,2338,2834,2273,2289,1396
19-10,France,12546,16.02700453,0.757519495,6885,4763,10681,232,38,201,1394,1319,2912,2488,2118,1533,1278
19-10,Italy,4951,0.344548034,0.298938229,2907,1121,3781,66,16,45,1043,135,736,1082,1013,695,367
19-10,Netherland,4043,8.770513855,0.244113767,2383,1155,3318,28,8,61,628,232,830,698,695,701,382
19-10,Ukraine,2371,-10.35916824,0.143159471,793,392,795,179,11,4,1382,84,320,390,218,135,38
19-10,Spain,3140,6.875425459,0.189591202,1823,1141,2777,35,10,49,269,152,634,846,674,404,254
19-10,Romania,1295,-0.461183705,0.078191276,445,245,655,5,15,1,619,28,158,267,142,79,16
